the_geom,Carshare_C,Site_Reque,On_Street,From_,To,Address,Site_ID,Community,Side,borough,Lat,Long,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29
POINT (-73.8889146434189 40.8103958774727),Zipcar,New Site,Casanova St,Oak Point Ave,Randall Ave,"510 Casanova St, Bronx,  NY 10474",B-Z 447,202,S,"Bronx, NY",40.810396,-73.888915,,,,,,,,,,,,,,,,,
POINT (-73.903 40.82253),Zipcar,New Site,Tinton Ave,E 163rd St,E 161 St,"930 Tinton Ave, Bronx, NY 10456",B-Z 520,203,N,"Bronx, NY",40.82253,-73.903,,,,,,,,,,,,,,,,,
POINT (-73.8888 40.82694),Getaround,New Site,Bryant Ave,W Farms Rd,E 167th St,"1120 Bryant Ave, Bronx, NY 10459",B-G 166,203,E,"Bronx, NY",40.82694,-73.8888,,,,,,,,,,,,,,,,,
POINT (-73.898825 40.826247),Zipcar,New Site,Prospect Ave,E 167 St,E 166 St,"1115 Prospect Ave, Bronx, NY 10459",B-Z 456,203,N,"Bronx, NY",40.826247,-73.898825,,,,,,,,,,,,,,,,,
POINT (-73.9168 40.83818),Zipcar,New Site,Marcy Pl,Grand Concourse,Walton Ave,"106 Marcy Pl, Bronx, NY 10452",B-Z 527,204,W,"Bronx, NY",40.83818,-73.9168,,,,,,,,,,,,,,,,,
POINT (-73.916539 40.83885),Zipcar,New Site,Walton Ave,Elliot St,Marcy Pl,"1372 Walton Ave, Bronx, NY 10452",B-Z 526,204,N,"Bronx, NY",40.83885,-73.916539,,,,,,,,,,,,,,,,,
POINT (-73.9179 40.83957),Getaround,New Site,Elliot Pl,Jerome Ave,Walton Ave,"1380 Jerome Ave, Bronx, NY 10452",B-G 172,204,S,"Bronx, NY",40.83957,-73.9179,,,,,,,,,,,,,,,,,
POINT (-73.9292 40.83123),Getaround,New Site,Woodycrest Ave,Jerome Ave,W 162nd St,"936 Woodycrest Ave, Bronx, NY 10452",B-G 176,204,W,"Bronx, NY",40.83123,-73.9292,,,,,,,,,,,,,,,,,
POINT (-73.9083 40.85397),Getaround,New Site,Davidson Av,W burnside av,W 180th St,"21 West Burnside Ave, Bronx, NY 10453",B-G 180,205,,"Bronx, NY",40.85397,-73.9083,,,,,,,,,,,,,,,,,
POINT (-73.9132 40.85963),Zipcar,New Site,Hall of fame Ter,Loring PL N,Sedgwick,"2070 Sedgwick Ave, Bronx, NY 10453",B-Z 546,205,E,"Bronx, NY",40.85963,-73.9132,,,,,,,,,,,,,,,,,
POINT (-73.8825 40.8511),Getaround,New Site,E 183rd St,Sou rn Blvd,Prospect Ave,"760 East 183rd St, Bronx, NY 10460",B-G 196,206,S,"Bronx, NY",40.8511,-73.8825,,,,,,,,,,,,,,,,,
POINT (-73.8888 40.85334),Getaround,New Site,Adams Pl,E 183rd St,Crescent Ave,"608 Crescent Ave, Bronx, NY 10458",B-G 188,206,W,"Bronx, NY",40.85334,-73.8888,,,,,,,,,,,,,,,,,
POINT (-73.8884 40.86617),Zipcar,New Site,Marion Ave,E 197th St,E 195th St,"2742 Marion Ave, Bronx, NY 10458",B-Z 3,207,E,"Bronx, NY",40.86617,-73.8884,,,,,,,,,,,,,,,,,
POINT (-73.8868 40.86721),Zipcar,New Site,E 198th St,Marion Ave,Decatur Ave,"351 E 198th St, Bronx, NY 10458",B-Z 2,207,N,"Bronx, NY",40.86721,-73.8868,,,,,,,,,,,,,,,,,
POINT (-73.8951 40.86878),Getaround,New Site,E 196th St,Morris Ave,Jerome Ave,"19 East 196th St, Bronx, NY 10468",B-G 199,207,S,"Bronx, NY",40.86878,-73.8951,,,,,,,,,,,,,,,,,
POINT (-73.8777 40.87418),Getaround,New Site,E 205th St,Perry Ave,Bainbridge Ave,"3151 Perry Ave, Bronx, NY 10467",B-G 200,207,N,"Bronx, NY",40.87418,-73.8777,,,,,,,,,,,,,,,,,
POINT (-73.904569 40.885175),Zipcar,New Site,W 236 St,Irwin Ave,Tibbet Ave,"3600 Irwin Av, Bronx, NY 10463",B-Z 529,208,W,"Bronx, NY",40.885175,-73.904569,,,,,,,,,,,,,,,,,
POINT (-73.899618 40.889744),Zipcar,New Site,Manhattan College Pkwy,W 242nd St,Manhattan College Plwy,"4652 Manhattan College Pkwy, Bronx, NY 10471",B-Z 528,208,S,"Bronx, NY",40.889744,-73.899618,,,,,,,,,,,,,,,,,
POINT (-73.900467 40.877378),Zipcar,New Site,Kingsbridge Terr,Perot,Summit,"3100 Kingsbridge Ter, Bronx, NY 10463",B-Z 575,208,W,"Bronx, NY",40.877378,-73.900467,,,,,,,,,,,,,,,,,
POINT (-73.917824 40.881855),Zipcar,New Site,W 227th St,Independence Ave,Henry Hudson Pkwy W,"690 W 227 St, Bronx, NY 10463",B-Z 13,208,N,"Bronx, NY",40.881855,-73.917824,,,,,,,,,,,,,,,,,
POINT (-73.8798 40.8193),Zipcar,New Site,Colgate Ave,Story Ave,Lafayette Ave,"800 Colgate Ave, Bronx, , NY 10473",B-Z 466,209,E,"Bronx, NY",40.8193,-73.8798,,,,,,,,,,,,,,,,,
POINT (-73.8699 40.827),Zipcar,Renewal,Croes Ave,Watson Ave,Croes Ave,"1098 Croes Ave, Bronx, 10472",B-Z 487,209,N,"Bronx, NY",40.827,-73.8699,,,,,,,,,,,,,,,,,
POINT (-73.861 40.82852),Zipcar,Renewal,Watson Ave,White Plains Rd,Underhill Ave,"1895 Watson Ave, Bronx, 10472",B-Z 485,209,E,"Bronx, NY",40.82852,-73.861,,,,,,,,,,,,,,,,,
POINT (-73.8632 40.83017),Zipcar,Renewal,Leland Ave,Gleason Ave,Watson Ave,"1171 Leland Ave, Bronx, 10472",B-Z 491,209,N,"Bronx, NY",40.83017,-73.8632,,,,,,,,,,,,,,,,,
POINT (-73.8477 40.83025),Zipcar,New Site,Watson Ave,Havemeyer Ave,Cross Bronx Expwy,"2271 Watson Ave, Bronx, NY 10462",B-Z 462,209,N,"Bronx, NY",40.83025,-73.8477,,,,,,,,,,,,,,,,,
POINT (-73.8442 40.8304),Zipcar,New Site,Zerega Ave,Watson Ave,Blackrock Ave,"1066 Zerega Ave, Bronx, NY 10462",B-Z 457,209,N,"Bronx, NY",40.8304,-73.8442,,,,,,,,,,,,,,,,,
POINT (-73.850115 40.830549),Zipcar,New Site,Haviland Ave,Havemeyer Ave,Cross Bronx Service Rd N,"2201 Haviland Ave,  Bronx, , NY 10462",B-Z 530,209,W,"Bronx, NY",40.830549,-73.850115,,,,,,,,,,,,,,,,,
POINT (-73.8474 40.83097),Zipcar,New Site,Haviland Ave,Havemeyer Ave,Zerega Ave,"2303 Haviland Ave, Bronx, , NY 10462",B-Z 464,209,N,"Bronx, NY",40.83097,-73.8474,,,,,,,,,,,,,,,,,
